  PID TTY           TIME CMD
    1 ??        36:09.11 /sbin/launchd
   47 ??         0:48.63 /usr/sbin/syslogd
   48 ??         0:21.48 /usr/libexec/UserEventAgent (System)
   50 ??         0:00.81 /Library/PrivilegedHelperTools/PT.updd
   52 ??         0:19.22 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
   53 ??         1:42.40 /usr/libexec/kextd
   54 ??        12:51.54 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
   56 ??        56:56.25 /opt/cisco/anyconnect/bin/vpnagentd -execv_instance
   60 ??         0:07.53 /System/Library/CoreServices/appleeventsd --server
   61 ??        19:59.70 /usr/sbin/systemstats --daemon
   63 ??        15:29.57 /usr/libexec/configd
   64 ??         9:58.35 /System/Library/CoreServices/powerd.bundle/powerd
   67 ??         5:51.85 /usr/libexec/logd
   74 ??        20:14.59 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
   76 ??         1:51.34 /usr/libexec/diskarbitrationd
   79 ??         0:08.13 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
   84 ??         4:47.87 /usr/libexec/opendirectoryd
   85 ??         1:17.68 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
   86 ??         0:02.95 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
   87 ??         9:07.47 /System/Library/CoreServices/launchservicesd
   88 ??         0:11.94 /usr/libexec/timed
   89 ??         2:03.58 /usr/sbin/securityd -i
   92 ??         3:15.27 /usr/libexec/locationd
   94 ??         0:00.06 autofsd
   95 ??         0:02.30 /usr/libexec/displaypolicyd -k 1
   97 ??         1:40.26 /usr/libexec/dasd
  101 ??         3:32.96 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  102 ??         0:01.43 /System/Library/CoreServices/logind
  103 ??         0:12.63 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  104 ??         0:00.13 /usr/sbin/KernelEventAgent
  106 ??        13:13.95 /usr/sbin/bluetoothd
  107 ??       102:17.73 /usr/libexec/hidd
  109 ??         1:46.57 /usr/libexec/corebrightnessd --launchd
  110 ??         0:10.61 /usr/libexec/AirPlayXPCHelper
  111 ??         4:37.60 /usr/sbin/notifyd
  112 ??         0:08.45 /usr/libexec/taskgated
  116 ??         2:41.62 /usr/libexec/syspolicyd
  118 ??         0:13.55 /usr/sbin/distnoted daemon
  134 ??         0:09.25 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  135 ??         2:21.63 /usr/sbin/cfprefsd daemon
  137 ??         1:34.63 /System/Library/CoreServices/coreservicesd
  143 ??         0:00.02 /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices/com.apple.ctkpcscd.xpc/Contents/MacOS/com.apple.ctkpcscd
  154 ??        11:14.63 /usr/libexec/airportd
  158 ??         3:05.14 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  165 ??         7:12.50 /usr/libexec/symptomsd
  169 ??         0:25.62 /usr/libexec/nsurlsessiond --privileged
  174 ??         0:17.58 /usr/libexec/lsd runAsRoot
  181 ??         4:41.82 /usr/sbin/mDNSResponder
  184 ??         0:25.65 /usr/sbin/mDNSResponderHelper
  187 ??       810:18.46 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  194 ??         0:01.52 /usr/libexec/apfsd
  196 ??        69:09.05 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
  198 ??         0:01.37 /usr/libexec/xartstorageremoted
  226 ??         0:06.07 /usr/libexec/watchdogd
  227 ??         0:03.38 /usr/libexec/eoshostd
  230 ??        27:00.08 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  231 ??         0:02.93 /usr/libexec/thermald
  239 ??        22:29.19 /usr/libexec/TouchBarServer
  241 ??         0:00.33 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  260 ??        21:29.27 /opt/cisco/anyconnect/bin/acumbrellaagent -console
  280 ??         0:06.12 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
  286 ??         0:03.28 /System/Library/CoreServices/sharedfilelistd
  300 ??         0:01.92 /usr/libexec/biokitaggdd
  338 ??         2:27.48 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  354 ??         2:24.50 /usr/sbin/cfprefsd agent
  355 ??         1:19.66 /usr/sbin/distnoted agent
  356 ??         0:21.14 /usr/libexec/lsd
  361 ??         0:02.15 /usr/sbin/distnoted agent
  424 ??         0:10.55 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerced
  425 ??         0:01.00 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd daemon
  426 ??         0:10.11 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeassetd daemon
  441 ??         0:01.36 /usr/libexec/securityd_service
  443 ??         0:26.01 /usr/sbin/spindump
  444 ??         0:01.85 /System/Library/CoreServices/SubmitDiagInfo server-init
  449 ??         4:12.36 /usr/libexec/UserEventAgent (Aqua)
  454 ??         1:11.74 /usr/libexec/rapportd
  455 ??        10:08.64 /Applications/Preview.app/Contents/MacOS/Preview -psn_0_57358
  456 ??         0:08.12 /System/Library/CoreServices/sharedfilelistd
  458 ??         1:10.50 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  461 ??       393:28.67 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome -psn_0_65552
  465 ??         2:50.61 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  470 ??         1:02.65 /usr/libexec/nsurlsessiond
  471 ??        81:58.43 /Applications/Microsoft Word.app/Contents/MacOS/Microsoft Word -psn_0_69649
  472 ??         0:17.79 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  474 ??         3:00.59 /usr/sbin/wirelessproxd
  478 ??         0:43.12 /usr/libexec/nsurlstoraged
  482 ??         0:31.59 /usr/sbin/usernoted
  483 ??        14:26.69 /Applications/WhatsApp.app/Contents/MacOS/WhatsApp -psn_0_86037
  485 ??         4:42.44 /System/Library/CoreServices/ControlStrip.app/Contents/MacOS/ControlStrip
  488 ??       1006:01.52 /Applications/zoom.us.app/Contents/MacOS/zoom.us -psn_0_94231
  489 ??         3:24.80 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  490 ??         0:01.89 /System/Library/CoreServices/CrashReporterSupportHelper server-init
  491 ??         0:09.64 /usr/libexec/pboard
  493 ??        18:31.42 /Applications/Sublime Text.app/Contents/MacOS/Sublime Text -psn_0_102425
  494 ??         0:12.11 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  495 ??         7:16.55 /usr/libexec/sharingd
  497 ??         7:43.21 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  498 ??         6:59.27 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  499 ??        11:26.56 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  502 ??         2:01.10 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  512 ??         5:57.70 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  513 ??         2:42.87 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  516 ??         0:07.84 /usr/sbin/filecoordinationd
  520 ??         0:02.99 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
  523 ??         0:37.27 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  525 ??         0:27.24 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  526 ??         0:19.60 /System/Library/PrivateFrameworks/CoreWLANKit.framework/Versions/A/XPCServices/WiFiProxy.xpc/Contents/MacOS/WiFiProxy
  531 ??         0:05.82 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  532 ??         3:54.23 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  537 ??         0:18.53 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  538 ??         0:05.33 /System/Library/Image Capture/Support/icdd
  541 ??         0:07.88 /Applications/Sublime Text.app/Contents/MacOS/plugin_host 493 --auto-shell-env
  553 ??         0:35.34 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
  554 ??         1:59.67 /System/Library/Input Methods/EmojiFunctionRowIM.app/Contents/PlugIns/EmojiFunctionRowIM_Extension.appex/Contents/MacOS/EmojiFunctionRowIM_Extension
